objectType,x,y,width,height
lane,70,80,2506,200
flowNodeRef,150,162,36,36
flowNodeRef,330,140,100,80
lane,70,280,2506,330
flowNodeRef,510,480,100,80
flowNodeRef,690,480,100,80
flowNodeRef,870,480,100,80
flowNodeRef,1050,480,100,80
flowNodeRef,1230,480,100,80
flowNodeRef,1410,480,100,80
flowNodeRef,1770,330,100,80
flowNodeRef,1950,330,100,80
flowNodeRef,2310,480,100,80
flowNodeRef,2490,502,36,36
flowNodeRef,1590,495,50,50
flowNodeRef,2130,495,50,50
lane,70,610,2506,200
flowNodeRef,1770,670,100,80
flowNodeRef,1950,670,100,80
startEvent,150,162,36,36
task,330,140,100,80
task,510,480,100,80
task,690,480,100,80
task,870,480,100,80
task,1050,480,100,80
task,1230,480,100,80
task,1410,480,100,80
task,1770,330,100,80
task,1950,330,100,80
task,1770,670,100,80
task,1950,670,100,80
task,2310,480,100,80
endEvent,2490,502,36,36
exclusiveGateway,1590,495,50,50
exclusiveGateway,2130,495,50,50
sequenceFlow,186,180,144,0
sequenceFlow,430,180,80,340
sequenceFlow,610,520,80,0
sequenceFlow,790,520,80,0
sequenceFlow,970,520,80,0
sequenceFlow,1150,520,80,0
sequenceFlow,1330,520,80,0
sequenceFlow,1870,370,80,0
sequenceFlow,1870,710,80,0
sequenceFlow,1510,520,80,0
sequenceFlow,1640,370,130,150
sequenceFlow,1640,520,130,190
sequenceFlow,2050,370,80,150
sequenceFlow,2050,520,80,190
sequenceFlow,2180,520,130,0
sequenceFlow,2410,520,80,0
